Longitude,Latitude,Anomaly_Score,eTh_Raw,RTP_Raw
331926.99599322473,4270892.058330265,-0.036032729338121294,238,253.02016
371076.99599322473,4300092.058330265,-0.036032729338121294,238,252.46611
337776.99599322473,4268142.058330265,-0.036032729338121294,238,253.02016
359876.99599322473,4308892.058330265,-0.03600548062182407,249,247.82419
368876.99599322473,4304042.058330265,-0.035939930010913446,244,249.5606
326626.99599322473,4260192.058330265,-0.03592473669019991,249,249.69722
367826.99599322473,4301192.058330265,-0.03592473669019991,249,249.84322
397126.99599322473,4283342.058330265,-0.03592473669019991,249,249.1705
377876.99599322473,4286592.058330265,-0.03592473669019991,244,253.15678
329926.99599322473,4281492.058330265,-0.03588959195495023,249,61.0
367176.99599322473,4252842.058330265,-0.03587734499349804,249,248.6994
375726.99599322473,4277042.058330265,-0.03587734499349804,249,248.16333
391326.99599322473,4292692.058330265,-0.03587734499349804,249,247.98814
367226.99599322473,4301492.058330265,-0.03587734499349804,244,252.8562
377076.99599322473,4273342.058330265,-0.03587734499349804,249,248.16333
346226.99599322473,4262042.058330265,-0.03587734499349804,249,248.24814
377976.99599322473,4275192.058330265,-0.035797108023856494,244,250.4038
380976.99599322473,4275892.058330265,-0.035786774046918324,244,250.54044
340326.99599322473,4263042.058330265,-0.03556879799198054,249,247.82419
395876.99599322473,4277342.058330265,-0.03550329171671607,244,247.98814
397626.99599322473,4288092.058330265,-0.03550329171671607,244,247.82419
351926.99599322473,4272642.058330265,-0.03548810867211871,249,248.44595
345176.99599322473,4241492.058330265,-0.03548810867211871,249,248.83604
396476.99599322473,4287542.058330265,-0.03548810867211871,249,247.98814
332426.99599322473,4278592.058330265,-0.035478270337317985,249,247.15147
333526.99599322473,4279042.058330265,-0.035452987707273675,249,68.317665
395126.99599322473,4288342.058330265,-0.03544074902914551,249,249.0
343376.99599322473,4284492.058330265,-0.03544074902914551,249,249.0
371876.99599322473,4298692.058330265,-0.03544074902914551,249,249.0
395076.99599322473,4288392.058330265,-0.03544074902914551,249,249.0
387426.99599322473,4289342.058330265,-0.03544074902914551,249,249.0
377726.99599322473,4275542.058330265,-0.03544074902914551,249,249.0
309776.99599322473,4264292.058330265,-0.03538286702244575,249,248.16333
382926.99599322473,4289492.058330265,-0.035362476301834866,249,66.272766
325876.99599322473,4277392.058330265,-0.035362476301834866,249,70.983765
326076.99599322473,4238042.058330265,-0.035362476301834866,249,71.1204
387026.99599322473,4274892.058330265,-0.035362476301834866,249,68.285645
339576.99599322473,4265642.058330265,-0.03527197759595957,249,75.26073
