Table,Field,Description,Minimum,Maximum,Units,Source,Unrepresentable
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Radar,Radar Altimeter,0.479999989,631.1699829,Meters,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,GPS_final,Gps elevation(PPP corrected),2294.1945,4384.718,Meters (PPP corrected),NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Latitude,Latitude,38.10641083,38.9880513,"Decimal Degrees, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Longitude,Longitude,-107.2705164,-105.9901736,"Decimal Degrees, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Fluxgate_X,X fluxgate,-18848,-3297,milliVolts,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Fluxgat_Y,Y fluxgate,-13899,14042,milliVolts,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Fluxgate_Z,Z fluxgate,-13170,13667,milliVolts,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Easting,"UTM X Coordinate, Zone 13",301607.3161,413756.313,"Meters, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Northing,"UTM Y Coordinate, Zone 13",4218264.873,4316860.774,"Meters, WGS84",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Diurnal,Filtered Base Magnetics,49933.29377,50460.43373,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Mag_uncomp,Raw magnetics,48528.9122,58697.414,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Mag_diur_cor,Diurnally corrected magnetics,48530.3492,58689.13812,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Flight,Flight Number,32,75,Numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Line_no,Line Number,10,10990,Numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Mag_microlvl,Micro-leveled diurnally corrected magnetics,48523.52311,58682.07325,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Directn,Heading,-17.97645688,377.5018626,Degrees,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Jul_day,Julian Day,183,299,Day of the year,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Mag_tielevel,Diurnally corrected DC leveled Magnetics,48525.778,58691.06361,nT,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Line_type,Line Type,L,T,"Alpha(L=line,T=tie)",NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
MagLine_AirborneMagneticSurveyColoradoMineralBeltMid2023.csv,Aircraft,Aircraft Identifier,n/a,n/a,Alpha numeric,NV5 Geospatial/Precision GeoSurveys/EDCON-PRJ,
1VD_AirborneMagneticSurveyColoradoMineralBeltMid2023.tif,,"3-band raster geospatial magnetic data file of the first vertical derivative of the reduced to pole. The first vertical derivative was applied to the gridded AMF channel (anomalous magnetic field, IGRF corrected) reduced to pole. The reduction-to-pole transformation, a standard potential-field method used to aid aeromagnetic interpretation in areas of high latitude (Blakely, 1995), corrects for shifts of anomalies from the centers of their magnetic sources. These shifts occur because of the oblique orientation of the measured magnetic field with respect to the Earths surface at medium to high latitudes. Application of the reduction-to-pole operation works best in areas where remanent (permanent) magnetizations held by magnetic minerals in the rocks are not very strong or are oriented within 25 degrees of the Earths magnetic field direction. The reduction-to-pole operation has largely moved anomalies properly over their sources, and the reduced-to-pole gridded data are considered to be a useful tool for interpretation of the magnetic data from this survey. An inclination and declination of the Earths magnetic field of 65 degrees and 8 degrees, respectively, were used to perform the reduction-to-pole procedure. Blakely, 1995, Potential theory in gravity and magnetic applications: Cambridge University Press, 441 p.",,,,,
1VD_AirborneMagneticSurveyColoradoMineralBeltMid2023.tif,Value,Unique numeric values contained in each raster cell.,0,255,None,U.S. Geological Survey,
RTP_AirborneMagneticSurveyColoradoMineralBeltMid2023.tif,,"3-band raster geospatial magnetic data file of the reduced to pole. The reduction-to-pole operation was applied to the gridded AMF channel (anomalous magnetic field, IGRF corrected). The reduction-to-pole transformation, a standard potential-field method used to aid aeromagnetic interpretation in areas of high latitude (Blakely, 1995), corrects for shifts of anomalies from the centers of their magnetic sources. These shifts occur because of the oblique orientation of the measured magnetic field with respect to the Earths surface at medium to high latitudes. Application of the reduction-to-pole operation works best in areas where remanent (permanent) magnetizations held by magnetic minerals in the rocks are not very strong or are oriented within 25 degrees of the Earths magnetic field direction. The reduction-to-pole operation has largely moved anomalies properly over their sources, and the reduced-to-pole gridded data are considered to be a useful tool for interpretation of the magnetic data from this survey. An inclination and declination of the Earths magnetic field of 65 degrees and 8 degrees, respectively, were used to perform the reduction-to-pole procedure. Blakely, 1995, Potential theory in gravity and magnetic applications: Cambridge University Press, 441 p.",,,,,
RTP_AirborneMagneticSurveyColoradoMineralBeltMid2023.tif,Value,Unique numeric values contained in each raster cell.,0,255,None,U.S. Geological Survey,
TotalMag_AirborneMagneticSurveyColoradoMineralBeltMid2023.tif,,3-band raster geospatial magnetic data file of the Total Magnetic field.,,,,,
